gender,grade,major,ai_usage,lit_count,q2_A,q2_B,q2_C,q2_D,q2_E,q3_A,q3_B,q3_C,q3_D,q3_E,q4_pref,q5_text,q6_difficulty,q7_hardest_part,q8_pref,q9_1,q9_2,q9_3,q9_4,q9_5,q10_text,q11_A,q11_B,q11_C,q11_D,q11_E,q12_time,q13_ref_method,q14_value,q15_text,q16_attitude,q17_A,q17_B,q17_C,q17_D,q17_E,q18_trouble,q19_need,q20_text,q21_ppt_time,q22_ppt_effort,q23_ppt_need,q24_practice_count,q25_text,q30_text
男,大三,理工科,没用过，想尝试,16-30篇,0,1,0,0,1,0,1,0,0,1,B,自动对比不同文献对同一概念的定义差异,D,B,A,3,5,1,4,2,SWOT分析不知道怎么组织,1,0,0,0,0,C,B,A,英文翻译的引文不知道要不要加原文,D,1,1,0,0,0,A,A,改重了10遍还是红,A,A,A,A,希望AI给出降重后的可读性评分,希望有多语言支持
女,大一,医学/农学,偶尔用,6-15篇,1,0,0,0,1,0,0,0,0,1,A,自动整理文献中的案例数据,A,C,A,4,1,3,2,5,实验结果讨论总是不深入,1,0,0,1,1,A,B,A,论文里很多中文参考文献，知网导出格式总错,B,1,0,1,1,0,E,B,改重了10遍还是红,D,D,B,A,希望一键生成PPT大纲,希望能离线使用
女,大二,人文社科,没用过，想尝试,16-30篇,1,0,0,0,0,1,0,0,1,1,B,提取文献中的关键公式和参数,A,B,C,1,2,5,3,4,SWOT分析不知道怎么组织,0,0,1,0,1,D,A,A,格式调了一晚上页眉还是乱的,A,1,0,0,1,1,A,D,降重改完意思变了，导师说不行,C,A,A,B,希望AI给出降重后的可读性评分,手机端操作不方便，希望适配
女,大四,经管类,没用过，想尝试,16-30篇,1,0,1,0,0,0,0,0,0,1,B,希望能自动提取实验数据和结论的关系,B,B,B,4,3,5,2,1,SWOT分析不知道怎么组织,1,1,0,0,1,D,B,A,知网导出的参考文献总有乱码,A,0,1,0,0,0,A,A,改重了10遍还是红,A,A,A,A,希望AI能识别哪些是必须保留的核心术语,希望能导出到Word
男,大三,理工科,没用过，想尝试,6-15篇,1,0,1,0,0,0,0,0,0,0,C,自动提取案例公司财务数据,B,D,A,2,5,1,4,3,文献综述不知道怎么组织观点,1,1,1,0,0,A,B,A,论文里很多中文参考文献，知网导出格式总错,B,0,0,1,1,0,A,B,降重改完意思变了，导师说不行,A,C,A,B,希望AI提供多种改写风格,希望能导出到Word
男,大一,医学/农学,偶尔用,16-30篇,1,1,1,1,1,1,1,0,0,1,B,自动提取案例公司财务数据,D,C,B,1,3,4,5,2,SWOT分析不知道怎么组织,1,1,1,0,1,C,A,B,图表编号和引用老是对不上,B,0,1,1,1,0,C,A,降重把引用也改了，导师说不规范,D,A,A,C,希望AI能保留学术语气,不要收集个人隐私
男,大一,理工科,偶尔用,30篇以上,1,1,1,0,1,1,0,0,0,1,D,自动整理文献中的案例数据,C,A,C,2,1,5,4,3,大纲列好了但写作时总跑偏，希望AI能提示章节重点,1,1,1,1,0,C,A,A,英文翻译的引文不知道要不要加原文,A,1,1,1,1,0,A,D,降重改完意思变了，导师说不行,A,B,A,A,希望AI能识别哪些是必须保留的核心术语,免费版限制字数少一点
女,大三,理工科,偶尔用,30篇以上,1,0,1,1,0,1,1,0,0,0,A,希望能自动提取实验数据和结论的关系,E,A,C,5,3,2,1,4,导师给的框架太抽象，希望AI给个具体例子,0,1,1,0,0,B,B,A,图表编号和引用老是对不上,A,1,1,0,0,1,B,A,改重改得自己都看不懂了,A,C,C,A,希望AI推荐PPT模板,希望能离线使用
女,大一,医学/农学,偶尔用,6-15篇,0,0,1,0,0,0,0,1,1,0,B,希望AI能自动标注文献中的研究方法部分,C,C,B,4,2,5,1,3,实验设计和数据分析的逻辑链不清晰,1,0,0,1,0,C,B,A,参考文献和正文标号对应不上,C,1,0,0,1,0,A,C,改重了10遍还是红,B,A,D,D,希望AI能根据论文自动生成讲稿,免费版限制字数少一点
女,大二,理工科,偶尔用,6-15篇,1,1,1,1,0,1,1,0,0,1,A,提取文献中的关键公式和参数,A,C,A,3,1,5,4,2,实验结果讨论总是不深入,0,1,0,1,0,C,B,A,公式编号和交叉引用总是错,A,0,0,1,0,0,E,A,降重后语句不通顺,A,D,A,B,希望PPT自动配图,希望能离线使用
男,大三,理工科,没用过，想尝试,30篇以上,0,0,0,1,1,0,1,0,1,0,B,希望能自动提取实验数据和结论的关系,B,C,B,4,2,5,1,3,SWOT分析不知道怎么组织,1,0,0,1,0,B,B,A,公式编号和交叉引用总是错,B,0,0,0,0,0,A,B,改重改得自己都看不懂了,C,B,B,B,希望AI能保留学术语气,希望能识别手写文献
女,大三,艺术/体育/其他,经常用，已融入写作流程,16-30篇,1,0,0,1,1,0,1,0,0,0,B,希望AI能自动标注文献中的研究方法部分,E,E,A,4,2,1,3,5,不知道从哪章开始写，希望AI推荐顺序,0,1,0,0,0,B,B,B,手打参考文献格式经常漏点,B,1,1,0,0,0,A,B,降重把引用也改了，导师说不规范,C,B,A,D,希望AI能保留学术语气,希望能识别手写文献
女,大三,艺术/体育/其他,偶尔用,6-15篇,1,0,0,1,0,1,0,0,0,0,A,希望能自动提取实验数据和结论的关系,E,D,C,5,4,1,2,3,不知道从哪章开始写，希望AI推荐顺序,0,0,0,0,0,A,A,A,图表编号和引用老是对不上,A,1,1,1,0,0,A,C,降重把文学性表达改没了,B,B,A,B,希望一键生成PPT大纲,希望能离线使用
男,大二,人文社科,没用过，想尝试,30篇以上,0,1,0,0,0,0,1,0,1,0,B,希望AI自动做文献综述的表格,C,C,A,4,5,3,2,1,不知道怎么提炼中心论点,1,1,0,1,0,C,A,A,手打参考文献格式经常漏点,D,0,0,1,0,0,C,A,降重后案例公司名字变了,B,E,A,C,希望AI给出降重后的可读性评分,希望有多语言支持
男,大四,人文社科,经常用，已融入写作流程,16-30篇,1,1,1,0,0,1,0,0,0,0,B,自动提取案例公司财务数据,C,D,D,2,4,5,3,1,引用了很多书但不知道怎么放进正文,1,0,1,0,0,C,B,A,公式编号和交叉引用总是错,A,1,1,0,0,0,C,A,怕用了降重工具泄露论文,C,A,A,B,希望AI能根据论文自动生成讲稿,免费版限制字数少一点
男,大二,人文社科,经常用，已融入写作流程,6-15篇,1,0,1,1,1,1,0,1,0,1,B,希望AI自动做文献综述的表格,A,C,B,4,3,1,2,5,大纲列好了但写作时总跑偏，希望AI能提示章节重点,0,0,0,0,0,B,A,A,公式编号和交叉引用总是错,B,0,1,0,0,1,C,A,降重改完意思变了，导师说不行,B,C,A,C,希望一键生成PPT大纲,希望有多语言支持
男,大二,理工科,没用过，想尝试,16-30篇,0,0,0,1,0,1,1,0,0,0,B,希望能自动提取实验数据和结论的关系,E,B,A,3,4,1,2,5,大纲列好了但写作时总跑偏，希望AI能提示章节重点,1,0,0,1,0,C,A,D,图表编号和引用老是对不上,A,1,0,0,1,1,A,A,改重了10遍还是红,B,B,B,D,希望PPT自动配图,希望能识别手写文献
女,大四,理工科,偶尔用,6-15篇,1,1,0,1,1,1,0,0,0,0,B,自动标注文献中使用的开源数据集,B,B,D,3,4,5,1,2,文献综述不知道怎么组织观点,1,0,0,1,1,C,C,A,图表标题和正文对不上,B,1,1,0,1,0,A,A,改重改得自己都看不懂了,A,B,A,A,希望一键生成PPT大纲,手机端操作不方便，希望适配
男,大三,经管类,经常用，已融入写作流程,5篇以内,1,1,1,1,1,0,1,0,1,0,C,自动提取案例公司财务数据,C,E,A,5,4,1,3,2,SWOT分析不知道怎么组织,0,1,0,1,1,A,A,B,参考文献和正文标号对应不上,B,0,1,0,0,0,A,A,降重把引用也改了，导师说不规范,A,B,B,B,希望一键生成PPT大纲,不要收集个人隐私
男,大四,经管类,经常用，已融入写作流程,6-15篇,0,0,1,1,0,1,0,0,0,0,A,提取文献中的关键公式和参数,B,B,C,3,4,5,2,1,不知道怎么提炼中心论点,1,1,0,0,0,D,B,A,图表编号和引用老是对不上,B,0,0,0,1,0,A,A,降重把引用也改了，导师说不规范,C,E,A,B,希望一键生成PPT大纲,希望有多语言支持
女,大三,经管类,没用过，想尝试,16-30篇,1,1,1,1,0,1,0,0,1,1,C,自动整理文献中的案例数据,C,C,B,5,4,1,3,2,SWOT分析不知道怎么组织,0,0,1,1,0,B,A,A,参考文献和正文标号对应不上,B,1,0,0,1,0,C,A,经常为了降重把专业术语改错,A,C,C,B,希望AI给出降重后的可读性评分,手机端操作不方便，希望适配
男,大三,经管类,偶尔用,5篇以内,0,0,1,0,0,1,0,0,1,0,B,希望AI自动做文献综述的表格,C,D,B,5,2,4,1,3,文献综述不知道怎么组织观点,1,0,0,0,0,C,B,A,图表编号和引用老是对不上,A,0,1,1,1,0,B,B,降重把引用也改了，导师说不规范,A,E,A,A,希望一键生成PPT大纲,希望有多语言支持
男,大一,理工科,偶尔用,6-15篇,1,0,0,1,1,1,0,0,0,0,B,自动整理文献中的案例数据,A,C,B,2,4,3,1,5,实验结果讨论总是不深入,1,0,1,0,1,D,B,A,图表标题和正文对不上,B,1,1,1,0,0,A,D,降重把文学性表达改没了,B,C,B,B,希望一键生成PPT大纲,希望有多语言支持
男,大三,人文社科,偶尔用,6-15篇,1,1,0,1,1,0,0,0,1,0,B,希望AI能自动标注文献中的研究方法部分,C,C,B,3,1,2,5,4,大纲列好了但写作时总跑偏，希望AI能提示章节重点,0,0,0,1,0,A,B,A,知网导出的参考文献总有乱码,B,1,1,1,0,0,A,C,改重改得自己都看不懂了,A,A,A,A,希望一键生成PPT大纲,希望能识别手写文献
男,大二,理工科,偶尔用,6-15篇,1,0,1,0,1,1,0,0,0,0,E,自动提取小说中的人物关系,B,B,A,5,1,3,2,4,导师给的框架太抽象，希望AI给个具体例子,0,0,1,0,0,C,B,A,图表编号和引用老是对不上,C,1,1,0,1,0,B,A,改重改得自己都看不懂了,A,D,B,B,希望一键生成PPT大纲,不要收集个人隐私
女,大二,人文社科,偶尔用,30篇以上,1,1,1,1,0,0,0,1,1,1,B,自动标注文献中使用的开源数据集,C,C,A,4,1,2,3,5,实验设计和数据分析的逻辑链不清晰,1,1,0,0,0,C,A,A,图表编号和引用老是对不上,A,1,1,0,0,0,A,A,经常为了降重把专业术语改错,C,A,B,C,希望AI能保留学术语气,不要收集个人隐私
男,硕士,人文社科,偶尔用,6-15篇,1,0,0,0,0,1,0,0,0,1,A,希望AI能自动标注文献中的研究方法部分,A,B,B,5,3,2,4,1,数据分析部分最难写，希望AI提供分析框架,1,0,0,0,0,A,A,A,英文翻译的引文不知道要不要加原文,A,1,0,0,0,0,B,B,降重后语句不通顺,A,C,A,B,希望AI能根据论文自动生成讲稿,不要收集个人隐私
女,大三,医学/农学,经常用，已融入写作流程,6-15篇,1,0,1,1,1,1,0,1,1,0,A,自动提取不同理论流派的对比,C,C,C,5,2,3,4,1,文献综述不知道怎么组织观点,1,0,0,1,0,C,A,A,图表标题和正文对不上,B,0,1,0,0,0,E,A,怕用了降重工具泄露论文,B,B,D,B,希望AI能识别哪些是必须保留的核心术语,希望有多语言支持
女,大四,理工科,没用过，想尝试,16-30篇,0,1,1,0,1,0,0,0,0,0,C,希望AI能自动标注文献中的研究方法部分,B,B,A,3,4,2,5,1,引用了很多书但不知道怎么放进正文,1,0,1,1,1,C,B,B,手打参考文献格式经常漏点,B,1,1,0,0,0,A,A,降重后语句不通顺,A,A,A,A,希望AI能识别哪些是必须保留的核心术语,希望能识别手写文献
男,大三,理工科,偶尔用,6-15篇,1,0,1,1,0,1,0,1,0,0,B,希望AI能自动标注文献中的研究方法部分,D,B,A,5,3,4,2,1,实验设计和数据分析的逻辑链不清晰,1,0,0,1,0,B,B,C,参考文献格式不同期刊要求不一样，手动改吐了,B,1,0,1,0,0,A,C,降重改完意思变了，导师说不行,B,D,C,B,希望AI能识别哪些是必须保留的核心术语,希望有多语言支持
女,大四,理工科,经常用，已融入写作流程,6-15篇,0,1,1,1,1,0,0,0,0,0,C,自动提取小说中的人物关系,B,B,C,1,5,2,3,4,引用了很多书但不知道怎么放进正文,0,0,0,1,0,A,B,A,英文翻译的引文不知道要不要加原文,D,1,1,1,0,0,A,B,降重后案例公司名字变了,A,B,A,D,希望PPT自动配图,不要收集个人隐私
男,大三,经管类,经常用，已融入写作流程,6-15篇,1,0,1,0,1,1,0,1,1,0,C,自动提取案例公司财务数据,A,C,C,2,4,3,5,1,大纲列好了但写作时总跑偏，希望AI能提示章节重点,1,1,1,0,1,B,C,A,参考文献格式不同期刊要求不一样，手动改吐了,A,0,1,1,0,0,A,B,降重改完意思变了，导师说不行,B,B,A,B,希望能根据论文内容自动生成图表目录,不要收集个人隐私
男,大三,人文社科,偶尔用,6-15篇,0,0,1,1,1,1,1,1,0,0,B,自动标注文献中使用的开源数据集,D,D,B,3,2,1,5,4,实验设计和数据分析的逻辑链不清晰,1,0,1,0,1,B,A,B,图表标题和正文对不上,A,0,0,0,1,0,A,A,经常为了降重把专业术语改错,B,C,A,A,希望AI推荐PPT模板,希望有多语言支持
女,大三,理工科,偶尔用,6-15篇,0,0,1,1,1,1,1,0,0,0,E,自动标注文献中使用的开源数据集,C,C,C,1,5,2,4,3,大纲列好了但写作时总跑偏，希望AI能提示章节重点,0,0,0,0,0,D,B,B,图表编号和引用老是对不上,A,1,1,1,1,0,B,A,改重了10遍还是红,C,A,B,A,希望能根据论文内容自动生成图表目录,免费版限制字数少一点
女,大二,理工科,没用过，想尝试,6-15篇,0,1,0,1,1,1,0,1,1,0,B,提取文献中的关键公式和参数,B,C,A,5,4,2,3,1,不知道怎么提炼中心论点,0,0,1,0,0,B,B,A,格式调了一晚上页眉还是乱的,A,0,0,0,0,0,C,C,改重了10遍还是红,B,A,C,A,希望PPT自动配图,免费版限制字数少一点
女,大四,经管类,偶尔用,6-15篇,1,0,0,0,1,1,0,0,1,1,B,希望AI能自动标注文献中的研究方法部分,B,A,A,4,2,1,5,3,实验结果讨论总是不深入,0,0,0,0,0,B,A,D,公式编号和交叉引用总是错,B,1,0,0,1,0,B,A,改重了10遍还是红,C,A,C,A,希望AI能保留学术语气,希望能识别手写文献
男,大二,理工科,偶尔用,30篇以上,0,1,1,0,0,0,1,0,1,1,C,自动标注文献中使用的开源数据集,C,B,C,2,3,4,5,1,不知道从哪章开始写，希望AI推荐顺序,1,0,0,1,1,B,A,A,参考文献和正文标号对应不上,B,1,0,0,0,0,A,A,改重了10遍还是红,B,A,A,B,希望AI能保留学术语气,希望有多语言支持
男,大一,经管类,偶尔用,6-15篇,1,0,1,0,0,0,0,0,1,0,B,自动对比不同文献对同一概念的定义差异,B,B,C,5,2,3,1,4,引用了很多书但不知道怎么放进正文,1,1,0,0,0,B,C,A,参考文献和正文标号对应不上,B,1,1,1,0,0,C,D,降重后语句不通顺,B,D,B,D,希望PPT自动配图,手机端操作不方便，希望适配
女,大三,经管类,偶尔用,16-30篇,0,1,0,1,1,0,0,0,1,1,D,提取文献中的关键公式和参数,D,C,B,4,5,3,1,2,实验结果讨论总是不深入,0,1,1,0,1,C,B,B,图表标题和正文对不上,B,1,1,1,1,0,A,A,降重后案例公司名字变了,A,A,A,B,希望AI给出降重后的可读性评分,希望能离线使用
男,大二,理工科,偶尔用,16-30篇,0,0,1,1,0,0,0,0,1,0,B,自动对比不同文献对同一概念的定义差异,E,B,B,5,3,2,4,1,文献综述不知道怎么组织观点,1,0,1,0,0,A,B,A,公式编号和交叉引用总是错,B,1,0,0,1,0,A,A,降重把文学性表达改没了,C,B,C,C,希望PPT自动配图,希望能导出到Word
男,大四,理工科,没用过，想尝试,5篇以内,1,1,1,1,0,1,1,0,0,0,C,自动提取小说中的人物关系,C,C,C,5,2,4,3,1,导师给的框架太抽象，希望AI给个具体例子,0,0,0,0,0,B,A,A,图表标题和正文对不上,C,1,1,1,1,1,A,A,降重改完意思变了，导师说不行,B,D,D,B,希望AI能根据论文自动生成讲稿,希望能识别手写文献
女,硕士,艺术/体育/其他,偶尔用,16-30篇,1,1,0,1,0,1,0,0,0,1,A,自动对比不同文献对同一概念的定义差异,C,D,B,2,4,5,1,3,实验设计和数据分析的逻辑链不清晰,1,0,0,1,0,B,A,A,公式编号和交叉引用总是错,B,0,0,1,0,1,A,B,降重改完意思变了，导师说不行,B,B,C,A,希望AI推荐PPT模板,免费版限制字数少一点
男,大四,理工科,偶尔用,6-15篇,0,1,1,1,0,1,0,0,1,1,B,自动整理文献中的案例数据,A,B,B,5,3,1,4,2,实验结果讨论总是不深入,0,0,0,0,0,C,C,A,图表标题和正文对不上,A,1,1,0,1,0,B,B,降重把引用也改了，导师说不规范,C,D,B,D,希望AI给出降重后的可读性评分,免费版限制字数少一点
女,大三,理工科,偶尔用,30篇以上,1,1,1,1,1,0,1,1,0,1,B,希望能自动提取实验数据和结论的关系,C,A,B,4,2,1,5,3,SWOT分析不知道怎么组织,1,1,1,0,0,B,A,A,图表标题和正文对不上,B,1,1,0,0,0,B,C,经常为了降重把专业术语改错,C,B,D,B,希望AI提供多种改写风格,希望能识别手写文献
男,大一,经管类,没用过，想尝试,6-15篇,1,1,1,0,1,1,1,0,0,0,A,自动对比不同文献对同一概念的定义差异,C,B,C,3,1,4,2,5,实验结果讨论总是不深入,1,1,1,1,0,C,C,A,图表编号和引用老是对不上,B,1,0,0,0,0,A,A,经常为了降重把专业术语改错,D,A,A,C,希望一键生成PPT大纲,免费版限制字数少一点
女,大四,医学/农学,经常用，已融入写作流程,6-15篇,1,1,0,1,0,1,0,0,0,0,B,自动提取小说中的人物关系,A,B,B,2,4,1,3,5,文献综述不知道怎么组织观点,1,0,0,0,0,B,A,A,论文里很多中文参考文献，知网导出格式总错,B,1,1,1,0,0,E,B,降重改完意思变了，导师说不行,B,C,C,B,希望AI能根据论文自动生成讲稿,手机端操作不方便，希望适配
男,大三,艺术/体育/其他,偶尔用,5篇以内,0,0,1,0,0,0,0,0,1,1,A,自动整理文献中的案例数据,E,B,D,1,4,2,5,3,不知道怎么提炼中心论点,1,0,1,0,1,C,A,B,手打参考文献格式经常漏点,A,1,0,0,0,1,A,B,改重了10遍还是红,B,B,A,C,希望能根据论文内容自动生成图表目录,免费版限制字数少一点
女,硕士,经管类,偶尔用,30篇以上,0,0,1,1,0,1,1,0,0,0,B,自动提取小说中的人物关系,A,C,C,3,4,5,2,1,不知道怎么提炼中心论点,0,0,1,0,0,A,B,A,参考文献格式不同期刊要求不一样，手动改吐了,A,1,0,1,0,0,A,A,降重后语句不通顺,A,A,A,A,希望AI推荐PPT模板,希望能导出到Word
女,硕士,理工科,经常用，已融入写作流程,6-15篇,1,1,1,1,1,1,0,0,0,0,B,自动提取小说中的人物关系,B,B,D,4,5,3,2,1,导师给的框架太抽象，希望AI给个具体例子,1,1,0,1,0,B,B,D,格式调了一晚上页眉还是乱的,C,1,1,0,1,0,B,A,降重后语句不通顺,B,A,B,B,希望AI提供多种改写风格,希望能导出到Word
男,大四,理工科,偶尔用,16-30篇,0,1,1,1,1,0,0,0,0,0,B,希望AI能自动标注文献中的研究方法部分,D,C,A,5,3,4,2,1,数据分析部分最难写，希望AI提供分析框架,0,1,0,1,0,B,B,B,知网导出的参考文献总有乱码,D,0,1,1,0,0,C,D,降重后语句不通顺,D,C,A,D,希望PPT自动配图,希望有多语言支持
女,大二,经管类,没用过，想尝试,5篇以内,1,1,1,0,0,1,0,0,0,0,B,自动提取小说中的人物关系,A,B,B,5,2,1,3,4,导师给的框架太抽象，希望AI给个具体例子,0,0,0,1,0,C,C,A,参考文献格式不同期刊要求不一样，手动改吐了,B,1,0,0,0,1,A,A,降重后案例公司名字变了,B,C,B,B,希望AI推荐PPT模板,希望能离线使用
女,大三,人文社科,偶尔用,16-30篇,1,0,1,0,1,1,1,1,0,0,B,自动对比不同文献对同一概念的定义差异,A,E,C,2,1,4,5,3,实验设计和数据分析的逻辑链不清晰,1,0,0,0,0,A,B,B,知网导出的参考文献总有乱码,A,1,0,1,0,0,B,C,降重后案例公司名字变了,B,E,A,A,希望能根据论文内容自动生成图表目录,希望能离线使用
女,大四,人文社科,偶尔用,6-15篇,1,0,1,0,1,0,0,0,0,0,B,希望能自动提取实验数据和结论的关系,E,C,B,4,3,5,2,1,引用了很多书但不知道怎么放进正文,0,1,0,1,0,B,B,A,格式调了一晚上页眉还是乱的,B,1,0,1,0,0,C,A,改重改得自己都看不懂了,A,A,A,D,希望AI推荐PPT模板,希望能离线使用
女,大二,医学/农学,经常用，已融入写作流程,16-30篇,1,0,1,0,1,1,1,0,0,1,D,自动提取小说中的人物关系,C,B,B,5,4,2,3,1,引用了很多书但不知道怎么放进正文,0,0,0,0,1,B,B,A,参考文献和正文标号对应不上,B,1,1,1,1,0,A,A,降重把引用也改了，导师说不规范,A,C,B,B,希望AI能保留学术语气,手机端操作不方便，希望适配
女,大二,理工科,偶尔用,6-15篇,1,1,0,0,1,1,1,0,1,0,B,自动提取小说中的人物关系,D,C,B,1,3,2,5,4,实验结果讨论总是不深入,1,0,1,0,0,B,A,A,知网导出的参考文献总有乱码,B,1,0,1,0,0,A,A,降重后语句不通顺,A,E,B,B,希望AI提供多种改写风格,免费版限制字数少一点
女,大三,人文社科,没用过，想尝试,6-15篇,1,0,1,1,0,1,0,0,0,0,B,自动标注文献中使用的开源数据集,B,B,D,4,3,5,1,2,引用了很多书但不知道怎么放进正文,1,0,0,0,0,B,A,A,图表编号和引用老是对不上,D,0,1,0,0,0,C,A,改重了10遍还是红,A,A,A,B,希望AI能根据论文自动生成讲稿,免费版限制字数少一点
男,大四,理工科,偶尔用,5篇以内,1,0,1,1,1,1,0,0,1,0,B,自动提取不同理论流派的对比,D,B,B,5,2,4,3,1,数据分析部分最难写，希望AI提供分析框架,1,1,0,0,0,B,A,C,图表标题和正文对不上,D,1,1,1,1,0,E,B,降重把引用也改了，导师说不规范,B,B,D,C,希望PPT自动配图,希望能识别手写文献
男,大三,人文社科,偶尔用,6-15篇,1,0,1,0,0,1,0,0,1,0,C,希望AI自动做文献综述的表格,C,D,D,2,4,1,3,5,不知道从哪章开始写，希望AI推荐顺序,0,0,0,1,0,B,B,A,手打参考文献格式经常漏点,C,0,1,0,0,1,A,B,降重后语句不通顺,B,B,C,B,希望AI能识别哪些是必须保留的核心术语,希望有多语言支持
男,大三,理工科,偶尔用,16-30篇,1,0,0,0,1,1,0,0,0,0,B,自动整理文献中的案例数据,C,B,C,2,3,5,1,4,不知道怎么提炼中心论点,0,0,0,1,0,A,B,C,图表标题和正文对不上,A,1,0,0,0,1,C,B,降重把文学性表达改没了,D,C,A,B,希望AI推荐PPT模板,希望能导出到Word
男,大一,理工科,偶尔用,5篇以内,1,0,1,1,1,1,0,0,1,0,B,自动提取不同理论流派的对比,B,D,B,5,4,1,2,3,实验结果讨论总是不深入,1,1,0,1,1,D,A,A,参考文献和正文标号对应不上,C,1,0,1,0,0,A,A,降重后案例公司名字变了,C,C,A,D,希望PPT自动配图,不要收集个人隐私
男,大三,理工科,偶尔用,16-30篇,1,0,1,1,1,0,1,1,0,1,E,自动整理文献中的案例数据,B,E,A,2,4,1,5,3,实验设计和数据分析的逻辑链不清晰,0,0,0,1,1,B,B,A,参考文献和正文标号对应不上,B,0,0,0,0,0,B,A,怕用了降重工具泄露论文,A,B,B,B,希望AI能保留学术语气,希望能识别手写文献
男,博士,人文社科,深度使用,6-15篇,1,1,1,1,1,1,0,1,1,0,B,希望AI自动做文献综述的表格,A,C,D,2,3,1,5,4,实验结果讨论总是不深入,0,0,0,1,0,D,C,C,论文里很多中文参考文献，知网导出格式总错,B,0,1,1,0,0,B,A,降重改完意思变了，导师说不行,C,B,A,C,希望能根据论文内容自动生成图表目录,希望能离线使用
女,大一,经管类,偶尔用,6-15篇,1,0,0,1,0,1,1,0,0,1,B,希望能自动提取实验数据和结论的关系,C,A,A,1,5,3,2,4,大纲列好了但写作时总跑偏，希望AI能提示章节重点,1,0,0,0,0,A,B,B,手打参考文献格式经常漏点,B,1,0,1,0,0,B,A,降重把文学性表达改没了,D,E,A,A,希望能根据论文内容自动生成图表目录,希望能识别手写文献
男,大三,人文社科,偶尔用,6-15篇,1,0,1,1,0,1,0,0,1,0,B,提取文献中的关键公式和参数,D,D,D,2,5,3,4,1,大纲列好了但写作时总跑偏，希望AI能提示章节重点,1,0,0,0,0,B,C,A,论文里很多中文参考文献，知网导出格式总错,B,0,0,0,1,0,A,B,改重改得自己都看不懂了,B,C,B,C,希望一键生成PPT大纲,免费版限制字数少一点
男,大四,艺术/体育/其他,没用过，想尝试,6-15篇,1,0,1,1,1,0,0,0,0,0,C,希望AI自动做文献综述的表格,D,B,B,3,5,2,1,4,大纲列好了但写作时总跑偏，希望AI能提示章节重点,1,1,0,1,0,B,B,A,知网导出的参考文献总有乱码,D,1,1,1,1,0,C,C,降重把文学性表达改没了,B,C,B,D,希望AI提供多种改写风格,希望能导出到Word
